njear	nrios	ntramo	ndist	xcoor	ycoor	dx	dt
1	171	0	44774.94	763587.230494	9896089.699494	30	0
1	171	0	44804.94	763587.230494	9896060.699494	30	0
1	171	0	44834.94	763587.230494	9896031.699494	30	0
1	171	0	44864.94	763587.230494	9896002.699494	30	0
1	171	0	44894.94	763587.230494	9895973.699494	30	0
1	171	0	44924.94	763587.230494	9895944.699494	30	0
1	171	0	44954.94	763587.230494	9895915.699494	30	0
1	171	0	44984.94	763587.230494	9895886.699494	30	0
1	171	0	45014.94	763587.230494	9895857.699494	30	0
1	171	0	45044.94	763587.230494	9895828.699494	30	0
1	171	0	45074.94	763587.230494	9895799.699494	30	0
1	171	0	45104.94	763587.230494	9895770.699494	30	0
1	171	0	45134.94	763587.230494	9895741.699494	30	0
1	171	0	45164.94	763587.230494	9895712.699494	30	0
1	171	0	45194.94	763587.230494	9895683.699494	30	0
1	171	0	45224.94	763587.230494	9895654.699494	30	0
1	171	0	45254.94	763587.230494	9895625.699494	30	0
1	171	0	45284.94	763587.230494	9895596.699494	30	0
1	171	0	45314.94	763587.230494	9895567.699494	30	0
1	171	0	45344.94	763587.230494	9895538.699494	30	0
1	171	0	45374.94	763587.230494	9895509.699494	30	0
1	171	0	45404.94	763587.230494	9895480.699494	30	0
1	171	0	45434.94	763587.230494	9895451.699494	30	0
1	171	0	45464.94	763587.230494	9895422.699494	30	0
1	171	0	45494.94	763587.230494	9895393.699494	30	0
1	171	0	45524.94	763587.230494	9895364.699494	30	0
1	171	0	45554.94	763587.230494	9895335.699494	30	0
1	171	0	45584.94	763587.230494	9895306.699494	30	0
1	171	0	45614.94	763587.230494	9895277.699494	30	0
1	171	0	45644.94	763587.230494	9895248.699494	30	0
1	171	0	45674.94	763587.230494	9895219.699494	30	0
1	171	0	45704.94	763587.230494	9895190.699494	30	0
1	171	0	45734.94	763587.230494	9895161.699494	30	0
1	171	0	45764.94	763587.230494	9895132.699494	30	0
1	171	0	45794.94	763587.230494	9895103.699494	30	0
1	171	0	45824.94	763587.230494	9895074.699494	30	0
1	171	0	45854.94	763616.230494	9895074.699494	30	0
1	171	0	45884.94	763616.230494	9895045.699494	30	0
1	171	0	45914.94	763616.230494	9895016.699494	30	0
1	171	0	45944.94	763616.230494	9894987.699494	30	0
1	171	0	45974.94	763645.230494	9894987.699494	30	0
1	171	0	46004.94	763645.230494	9894958.699494	30	0
1	171	0	46034.94	763645.230494	9894929.699494	30	0
1	171	0	46064.94	763674.230494	9894929.699494	30	0
1	171	0	46094.94	763674.230494	9894900.699494	30	0
1	171	0	46124.94	763703.230494	9894900.699494	30	0
1	171	0	46154.94	763703.230494	9894871.699494	30	0
1	171	0	46184.94	763732.230494	9894871.699494	30	0
1	171	0	46214.94	763732.230494	9894842.699494	30	0
1	171	0	46244.94	763732.230494	9894813.699494	30	0
1	171	0	46274.94	763732.230494	9894784.699494	30	0
1	171	0	46304.94	763761.230494	9894784.699494	30	0
1	171	0	46334.94	763761.230494	9894755.699494	30	0
1	171	0	46364.94	763790.230494	9894755.699494	30	0
1	171	0	46394.94	763790.230494	9894726.699494	30	0
1	171	0	46424.94	763819.230494	9894726.699494	30	0
1	171	0	46454.94	763819.230494	9894697.699494	30	0
1	171	0	46484.94	763848.230494	9894697.699494	30	0
1	171	0	46514.94	763848.230494	9894668.699494	30	0
1	171	0	46544.94	763848.230494	9894639.699494	30	0
1	171	0	46574.94	763877.230494	9894639.699494	30	0
1	171	0	46604.94	763877.230494	9894610.699494	30	0
1	171	0	46634.94	763877.230494	9894581.699494	30	0
1	171	0	46664.94	763906.230494	9894581.699494	30	0
1	171	0	46694.94	763906.230494	9894552.699494	30	0
1	171	0	46724.94	763906.230494	9894523.699494	30	0
1	171	0	46754.94	763935.230494	9894523.699494	30	0
1	171	0	46784.94	763935.230494	9894494.699494	30	0
1	171	0	46814.94	763964.230494	9894494.699494	30	0
1	171	0	46844.94	763964.230494	9894465.699494	30	0
1	171	0	46874.94	763993.230494	9894465.699494	30	0
1	171	0	46904.94	763993.230494	9894436.699494	30	0
1	171	0	46934.94	764022.230494	9894436.699494	30	0
1	171	0	46964.94	764022.230494	9894407.699494	30	0
1	171	0	46994.94	764022.230494	9894378.699494	30	0
1	171	0	47024.94	764051.230494	9894378.699494	30	0
1	171	0	47054.94	764051.230494	9894349.699494	30	0
1	171	0	47084.94	764080.230494	9894349.699494	30	0
1	171	0	47114.94	764080.230494	9894320.699494	30	0
1	171	0	47144.94	764109.230494	9894320.699494	30	0
1	171	0	47174.94	764109.230494	9894291.699494	30	0
1	171	0	47204.94	764138.230494	9894291.699494	30	0
1	171	0	47234.94	764138.230494	9894262.699494	30	0
1	171	0	47264.94	764138.230494	9894233.699494	30	0
1	171	0	47294.94	764138.230494	9894204.699494	30	0
1	171	0	47324.94	764138.230494	9894175.699494	30	0
1	171	0	47354.94	764138.230494	9894146.699494	30	0
1	171	0	47384.94	764138.230494	9894117.699494	30	0
1	171	0	47414.94	764138.230494	9894088.699494	30	0
1	171	0	47444.94	764138.230494	9894059.699494	30	0
1	171	0	47474.94	764138.230494	9894030.699494	30	0
1	171	0	47504.94	764138.230494	9894001.699494	30	0
1	171	0	47534.94	764138.230494	9893972.699494	30	0
1	171	0	47564.94	764138.230494	9893943.699494	30	0
1	171	0	47594.94	764138.230494	9893914.699494	30	0
1	171	0	47624.94	764138.230494	9893885.699494	30	0
1	171	0	47654.94	764138.230494	9893856.699494	30	0
1	171	0	47684.94	764138.230494	9893827.699494	30	0
1	171	0	47714.94	764138.230494	9893798.699494	30	0
1	171	0	47744.94	764138.230494	9893769.699494	30	0
1	171	0	47774.94	764138.230494	9893740.699494	30	0
1	171	0	47804.94	764138.230494	9893711.699494	30	0
1	171	0	47849.94	764109.230494	9893682.699494	45	0
1	171	0	47879.94	764109.230494	9893653.699494	30	0
1	171	0	47909.94	764109.230494	9893624.699494	30	0
1	171	0	47954.94	764138.230494	9893595.699494	45	0
1	171	0	47999.94	764167.230494	9893566.699494	45	0
1	171	0	48044.94	764196.230494	9893537.699494	45	0
1	171	0	48089.94	764225.230494	9893508.699494	45	0
1	171	0	48119.94	764225.230494	9893479.699494	30	0
1	171	0	48164.94	764254.230494	9893450.699494	45	0
1	171	0	48209.94	764283.230494	9893421.699494	45	0
1	171	0	48239.94	764283.230494	9893392.699494	30	0
1	171	0	48284.94	764312.230494	9893363.699494	45	0
1	171	0	48329.94	764341.230494	9893334.699494	45	0
1	171	0	48374.94	764370.230494	9893305.699494	45	0
1	171	0	48419.94	764399.230494	9893276.699494	45	0
1	171	0	48464.94	764428.230494	9893247.699494	45	0
1	171	0	48494.94	764457.230494	9893247.699494	30	0
1	171	0	48539.94	764486.230494	9893218.699494	45	0
1	171	0	48569.94	764486.230494	9893189.699494	30	0
1	171	0	48614.94	764515.230494	9893160.699494	45	0
1	171	0	48644.94	764515.230494	9893131.699494	30	0
1	171	0	48674.94	764544.230494	9893131.699494	30	0
1	171	0	48704.94	764544.230494	9893102.699494	30	0
1	171	0	48734.94	764544.230494	9893073.699494	30	0
1	171	0	48764.94	764544.230494	9893044.699494	30	0
1	171	0	48794.94	764544.230494	9893015.699494	30	0
1	171	0	48824.94	764544.230494	9892986.699494	30	0
1	171	0	48854.94	764544.230494	9892957.699494	30	0
1	171	0	48884.94	764544.230494	9892928.699494	30	0
1	171	0	48914.94	764544.230494	9892899.699494	30	0
1	171	0	48944.94	764544.230494	9892870.699494	30	0
1	171	0	48974.94	764544.230494	9892841.699494	30	0
1	171	0	49004.94	764544.230494	9892812.699494	30	0
1	171	0	49034.94	764544.230494	9892783.699494	30	0
1	171	0	49064.94	764544.230494	9892754.699494	30	0
1	171	0	49094.94	764544.230494	9892725.699494	30	0
1	171	0	49124.94	764544.230494	9892696.699494	30	0
1	171	0	49154.94	764544.230494	9892667.699494	30	0
1	171	0	49184.94	764544.230494	9892638.699494	30	0
1	171	0	49214.94	764544.230494	9892609.699494	30	0
1	171	0	49244.94	764544.230494	9892580.699494	30	0
1	171	0	49274.94	764544.230494	9892551.699494	30	0
1	171	0	49304.94	764544.230494	9892522.699494	30	0
1	171	0	49334.94	764544.230494	9892493.699494	30	0
1	171	0	49364.94	764544.230494	9892464.699494	30	0
1	171	0	49409.94	764515.230494	9892435.699494	45	0
1	171	0	49439.94	764515.230494	9892406.699494	30	0
1	171	0	49469.94	764515.230494	9892377.699494	30	0
1	171	0	49499.94	764515.230494	9892348.699494	30	0
1	171	0	49529.94	764515.230494	9892319.699494	30	0
1	171	0	49559.94	764515.230494	9892290.699494	30	0
1	171	0	49604.94	764486.230494	9892261.699494	45	0
1	171	0	49634.94	764486.230494	9892232.699494	30	0
1	171	0	49664.94	764486.230494	9892203.699494	30	0
1	171	0	49694.94	764486.230494	9892174.699494	30	0
1	171	0	49739.94	764457.230494	9892145.699494	45	0
1	171	0	49769.94	764457.230494	9892116.699494	30	0
1	171	0	49799.94	764457.230494	9892087.699494	30	0
1	171	0	49829.94	764457.230494	9892058.699494	30	0
1	171	0	49859.94	764457.230494	9892029.699494	30	0
1	171	0	49889.94	764457.230494	9892000.699494	30	0
1	171	0	49919.94	764457.230494	9891971.699494	30	0
1	171	0	49949.94	764457.230494	9891942.699494	30	0
1	171	0	49979.94	764457.230494	9891913.699494	30	0
1	171	0	50009.94	764457.230494	9891884.699494	30	0
1	171	0	50039.94	764457.230494	9891855.699494	30	0
1	171	0	50069.94	764457.230494	9891826.699494	30	0
1	171	0	50099.94	764457.230494	9891797.699494	30	0
1	171	0	50129.94	764457.230494	9891768.699494	30	0
1	171	0	50159.94	764457.230494	9891739.699494	30	0
1	171	0	50189.94	764457.230494	9891710.699494	30	0
1	171	0	50219.94	764457.230494	9891681.699494	30	0
1	171	0	50249.94	764457.230494	9891652.699494	30	0
1	171	0	50279.94	764486.230494	9891652.699494	30	0
1	171	0	50309.94	764486.230494	9891623.699494	30	0
1	171	0	50339.94	764486.230494	9891594.699494	30	0
1	171	0	50369.94	764486.230494	9891565.699494	30	0
1	171	0	50399.94	764486.230494	9891536.699494	30	0
1	171	0	50444.94	764515.230494	9891507.699494	45	0
1	171	0	50474.94	764544.230494	9891507.699494	30	0
1	171	0	50504.94	764544.230494	9891478.699494	30	0
1	171	0	50534.94	764544.230494	9891449.699494	30	0
1	171	0	50564.94	764573.230494	9891449.699494	30	0
1	171	0	50594.94	764573.230494	9891420.699494	30	0
1	171	0	50639.94	764602.230494	9891391.699494	45	0
1	171	0	50669.94	764602.230494	9891420.699494	30	0
1	171	0	50699.94	764631.230494	9891420.699494	30	0
1	171	0	50729.94	764631.230494	9891391.699494	30	0
1	171	0	50759.94	764660.230494	9891391.699494	30	0
1	171	0	50789.94	764689.230494	9891391.699494	30	0
1	171	0	50819.94	764689.230494	9891362.699494	30	0
1	171	0	50849.94	764689.230494	9891333.699494	30	0
1	171	0	50879.94	764689.230494	9891304.699494	30	0
1	171	0	50909.94	764689.230494	9891275.699494	30	0
1	171	0	50939.94	764689.230494	9891246.699494	30	0
1	171	0	50969.94	764689.230494	9891217.699494	30	0
1	171	0	50999.94	764689.230494	9891188.699494	30	0
1	171	0	51029.94	764689.230494	9891159.699494	30	0
1	171	0	51059.94	764689.230494	9891130.699494	30	0
1	171	0	51089.94	764689.230494	9891101.699494	30	0
1	171	0	51119.94	764689.230494	9891072.699494	30	0
1	171	0	51149.94	764689.230494	9891043.699494	30	0
1	171	0	51179.94	764689.230494	9891014.699494	30	0
1	171	0	51209.94	764689.230494	9890985.699494	30	0
1	171	0	51239.94	764689.230494	9890956.699494	30	0
1	171	0	51269.94	764689.230494	9890927.699494	30	0
1	171	0	51299.94	764689.230494	9890898.699494	30	0
1	171	0	51329.94	764689.230494	9890869.699494	30	0
1	171	0	51359.94	764689.230494	9890840.699494	30	0
1	171	0	51389.94	764689.230494	9890811.699494	30	0
1	171	0	51419.94	764718.230494	9890811.699494	30	0
1	171	0	51449.94	764718.230494	9890782.699494	30	0
1	171	0	51479.94	764718.230494	9890753.699494	30	0
1	171	0	51509.94	764747.230494	9890753.699494	30	0
1	171	0	51539.94	764747.230494	9890724.699494	30	0
1	171	0	51569.94	764776.230494	9890724.699494	30	0
1	171	0	51599.94	764776.230494	9890695.699494	30	0
1	171	0	51629.94	764805.230494	9890695.699494	30	0
1	171	0	51659.94	764805.230494	9890666.699494	30	0
1	171	0	51689.94	764805.230494	9890637.699494	30	0
1	171	0	51719.94	764834.230494	9890637.699494	30	0
1	171	0	51749.94	764834.230494	9890608.699494	30	0
1	171	0	51779.94	764834.230494	9890579.699494	30	0
1	171	0	51809.94	764834.230494	9890550.699494	30	0
1	171	0	51839.94	764834.230494	9890521.699494	30	0
1	171	0	51869.94	764834.230494	9890492.699494	30	0
1	171	0	51899.94	764834.230494	9890463.699494	30	0
1	171	0	51929.94	764834.230494	9890434.699494	30	0
1	171	0	51959.94	764834.230494	9890405.699494	30	0
1	171	0	51989.94	764834.230494	9890376.699494	30	0
1	171	0	52019.94	764834.230494	9890347.699494	30	0
1	171	0	52049.94	764834.230494	9890318.699494	30	0
1	171	0	52079.94	764834.230494	9890289.699494	30	0
1	171	0	52109.94	764834.230494	9890260.699494	30	0
1	171	0	52139.94	764834.230494	9890231.699494	30	0
1	171	0	52169.94	764863.230494	9890231.699494	30	0
1	171	0	52199.94	764863.230494	9890202.699494	30	0
1	171	0	52229.94	764863.230494	9890173.699494	30	0
1	171	0	52259.94	764863.230494	9890144.699494	30	0
1	171	0	52289.94	764863.230494	9890115.699494	30	0
1	171	0	52319.94	764892.230494	9890115.699494	30	0
1	171	0	52349.94	764921.230494	9890115.699494	30	0
1	171	0	52379.94	764921.230494	9890086.699494	30	0
1	171	0	52424.94	764950.230494	9890057.699494	45	0
1	171	0	52454.94	764979.230494	9890057.699494	30	0
1	171	0	52484.94	765008.230494	9890057.699494	30	0
1	171	0	52514.94	765037.230494	9890057.699494	30	0
1	171	0	52544.94	765066.230494	9890057.699494	30	0
1	171	0	52574.94	765066.230494	9890086.699494	30	0
1	171	0	52604.94	765066.230494	9890115.699494	30	0
1	171	0	52634.94	765066.230494	9890144.699494	30	0
1	171	0	52664.94	765066.230494	9890173.699494	30	0
1	171	0	52694.94	765066.230494	9890202.699494	30	0
1	171	0	52724.94	765095.230494	9890202.699494	30	0
1	171	0	52754.94	765095.230494	9890173.699494	30	0
1	171	0	52784.94	765124.230494	9890173.699494	30	0
1	171	0	52829.94	765153.230494	9890144.699494	45	0
1	171	0	52859.94	765153.230494	9890115.699494	30	0
1	171	0	52904.94	765182.230494	9890086.699494	45	0
1	171	0	52934.94	765182.230494	9890057.699494	30	0
1	171	0	52979.94	765211.230494	9890028.699494	45	0
1	171	0	53009.94	765240.230494	9890028.699494	30	0
1	171	0	53039.94	765240.230494	9889999.699494	30	0
1	171	0	53084.94	765269.230494	9889970.699494	45	0
1	171	0	53114.94	765298.230494	9889970.699494	30	0
1	171	0	53144.94	765298.230494	9889941.699494	30	0
1	171	0	53189.94	765327.230494	9889912.699494	45	0
1	171	0	53219.94	765327.230494	9889883.699494	30	0
1	171	0	53264.94	765356.230494	9889854.699494	45	0
1	171	0	53309.94	765385.230494	9889825.699494	45	0
1	171	0	53354.94	765414.230494	9889796.699494	45	0
1	171	0	53384.94	765414.230494	9889767.699494	30	0
1	171	0	53414.94	765414.230494	9889738.699494	30	0
1	171	0	53459.94	765443.230494	9889709.699494	45	0
1	171	0	53489.94	765443.230494	9889680.699494	30	0
1	171	0	53534.94	765472.230494	9889651.699494	45	0
1	171	0	53579.94	765501.230494	9889622.699494	45	0
1	171	0	53609.94	765501.230494	9889593.699494	30	0
1	171	0	53654.94	765530.230494	9889564.699494	45	0
1	171	0	53684.94	765530.230494	9889535.699494	30	0
1	171	0	53714.94	765530.230494	9889506.699494	30	0
1	171	0	53744.94	765530.230494	9889477.699494	30	0
1	171	0	53789.94	765559.230494	9889448.699494	45	0
1	171	0	53819.94	765559.230494	9889419.699494	30	0
1	171	0	53864.94	765588.230494	9889390.699494	45	0
1	171	0	53894.94	765588.230494	9889361.699494	30	0
1	171	0	53924.94	765588.230494	9889332.699494	30	0
1	171	0	53969.94	765617.230494	9889303.699494	45	0
1	171	0	53999.94	765617.230494	9889274.699494	30	0
1	171	0	54029.94	765617.230494	9889245.699494	30	0
1	171	0	54059.94	765617.230494	9889216.699494	30	0
1	171	0	54104.94	765646.230494	9889187.699494	45	0
1	171	0	54134.94	765646.230494	9889158.699494	30	0
1	171	0	54179.94	765675.230494	9889129.699494	45	0
1	171	0	54224.94	765704.230494	9889100.699494	45	0
1	171	0	54254.94	765704.230494	9889071.699494	30	0
1	171	0	54284.94	765704.230494	9889042.699494	30	0
1	171	0	54329.94	765733.230494	9889013.699494	45	0
1	171	0	54374.94	765762.230494	9888984.699494	45	0
1	171	0	54419.94	765791.230494	9888955.699494	45	0
1	171	0	54449.94	765791.230494	9888926.699494	30	0
1	171	0	54479.94	765791.230494	9888897.699494	30	0
1	171	0	54524.94	765820.230494	9888868.699494	45	0
1	171	0	54569.94	765849.230494	9888839.699494	45	0
1	171	0	54614.94	765878.230494	9888810.699494	45	0
1	171	0	54644.94	765907.230494	9888810.699494	30	0
1	171	0	54689.94	765936.230494	9888781.699494	45	0
1	171	0	54719.94	765965.230494	9888781.699494	30	0
1	171	0	54749.94	765994.230494	9888781.699494	30	0
1	171	0	54779.94	766023.230494	9888781.699494	30	0
1	171	0	54809.94	766023.230494	9888810.699494	30	0
1	171	0	54839.94	766023.230494	9888839.699494	30	0
1	171	0	54869.94	766052.230494	9888839.699494	30	0
1	171	0	54899.94	766052.230494	9888810.699494	30	0
1	171	0	54929.94	766052.230494	9888781.699494	30	0
1	171	0	54959.94	766052.230494	9888752.699494	30	0
1	171	0	54989.94	766052.230494	9888723.699494	30	0
1	171	0	55019.94	766081.230494	9888723.699494	30	0
1	171	0	55049.94	766081.230494	9888694.699494	30	0
1	171	0	55079.94	766081.230494	9888665.699494	30	0
1	171	0	55109.94	766081.230494	9888636.699494	30	0
1	171	0	55139.94	766110.230494	9888636.699494	30	0
1	171	0	55169.94	766110.230494	9888607.699494	30	0
1	171	0	55199.94	766110.230494	9888578.699494	30	0
1	171	0	55244.94	766139.230494	9888549.699494	45	0
1	171	0	55274.94	766139.230494	9888520.699494	30	0
1	171	0	55319.94	766168.230494	9888491.699494	45	0
1	171	0	55349.94	766168.230494	9888462.699494	30	0
1	171	0	55394.94	766197.230494	9888433.699494	45	0
1	171	0	55424.94	766197.230494	9888404.699494	30	0
1	171	0	55454.94	766197.230494	9888375.699494	30	0
1	171	0	55484.94	766197.230494	9888346.699494	30	0
1	171	0	55514.94	766226.230494	9888346.699494	30	0
1	171	0	55544.94	766226.230494	9888375.699494	30	0
1	171	0	55574.94	766226.230494	9888404.699494	30	0
1	171	0	55604.94	766226.230494	9888433.699494	30	0
1	171	0	55649.94	766255.230494	9888404.699494	45	0
1	171	0	55679.94	766255.230494	9888375.699494	30	0
1	171	0	55709.94	766255.230494	9888346.699494	30	0
1	171	0	55754.94	766284.230494	9888317.699494	45	0
1	171	0	55784.94	766284.230494	9888288.699494	30	0
1	171	0	55814.94	766284.230494	9888259.699494	30	0
1	171	0	55844.94	766313.230494	9888259.699494	30	0
1	171	0	55874.94	766313.230494	9888288.699494	30	0
1	171	0	55919.94	766342.230494	9888259.699494	45	0
1	171	0	55949.94	766342.230494	9888230.699494	30	0
1	171	0	55979.94	766342.230494	9888201.699494	30	0
1	171	0	56009.94	766342.230494	9888172.699494	30	0
1	171	0	56039.94	766342.230494	9888143.699494	30	0
1	171	0	56069.94	766342.230494	9888114.699494	30	0
1	171	0	56099.94	766371.230494	9888114.699494	30	0
1	171	0	56129.94	766371.230494	9888085.699494	30	0
1	171	0	56159.94	766400.230494	9888085.699494	30	0
1	171	0	56189.94	766400.230494	9888056.699494	30	0
1	171	0	56219.94	766429.230494	9888056.699494	30	0
1	171	0	56249.94	766429.230494	9888027.699494	30	0
1	171	0	56279.94	766458.230494	9888027.699494	30	0
1	171	0	56309.94	766458.230494	9887998.699494	30	0
1	171	0	56339.94	766487.230494	9887998.699494	30	0
1	171	0	56369.94	766487.230494	9887969.699494	30	0
1	171	0	56399.94	766516.230494	9887969.699494	30	0
1	171	0	56429.94	766516.230494	9887940.699494	30	0
1	171	0	56459.94	766545.230494	9887940.699494	30	0
1	171	0	56489.94	766545.230494	9887911.699494	30	0
1	171	0	56519.94	766545.230494	9887882.699494	30	0
1	171	0	56549.94	766574.230494	9887882.699494	30	0
1	171	0	56579.94	766574.230494	9887853.699494	30	0
1	171	0	56609.94	766574.230494	9887824.699494	30	0
1	171	0	56639.94	766574.230494	9887795.699494	30	0
1	171	0	56669.94	766574.230494	9887766.699494	30	0
1	171	0	56699.94	766574.230494	9887737.699494	30	0
1	171	0	56729.94	766574.230494	9887708.699494	30	0
1	171	0	56759.94	766574.230494	9887679.699494	30	0
1	171	0	56789.94	766574.230494	9887650.699494	30	0
1	171	0	56819.94	766574.230494	9887621.699494	30	0
1	171	0	56849.94	766603.230494	9887621.699494	30	0
1	171	0	56879.94	766603.230494	9887650.699494	30	0
1	171	0	56909.94	766603.230494	9887679.699494	30	0
1	171	0	56939.94	766603.230494	9887708.699494	30	0
1	171	0	56969.94	766603.230494	9887737.699494	30	0
1	171	0	56999.94	766603.230494	9887766.699494	30	0
1	171	0	57029.94	766603.230494	9887795.699494	30	0
1	171	0	57059.94	766603.230494	9887824.699494	30	0
1	171	0	57089.94	766603.230494	9887853.699494	30	0
1	171	0	57119.94	766603.230494	9887882.699494	30	0
1	171	0	57149.94	766603.230494	9887911.699494	30	0
1	171	0	57179.94	766603.230494	9887940.699494	30	0
1	171	0	57209.94	766603.230494	9887969.699494	30	0
1	171	0	57239.94	766603.230494	9887998.699494	30	0
1	171	0	57269.94	766603.230494	9888027.699494	30	0
1	171	0	57299.94	766632.230494	9888027.699494	30	0
1	171	0	57329.94	766632.230494	9887998.699494	30	0
1	171	0	57359.94	766632.230494	9887969.699494	30	0
1	171	0	57389.94	766632.230494	9887940.699494	30	0
1	171	0	57419.94	766632.230494	9887911.699494	30	0
1	171	0	57449.94	766632.230494	9887882.699494	30	0
1	171	0	57479.94	766632.230494	9887853.699494	30	0
1	171	0	57509.94	766632.230494	9887824.699494	30	0
1	171	0	57539.94	766632.230494	9887795.699494	30	0
1	171	0	57569.94	766632.230494	9887766.699494	30	0
1	171	0	57599.94	766632.230494	9887737.699494	30	0
1	171	0	57629.94	766632.230494	9887708.699494	30	0
1	171	0	57659.94	766632.230494	9887679.699494	30	0
1	171	0	57689.94	766632.230494	9887650.699494	30	0
1	171	0	57719.94	766632.230494	9887621.699494	30	0
1	171	0	57749.94	766661.230494	9887621.699494	30	0
1	171	0	57779.94	766661.230494	9887650.699494	30	0
1	171	0	57809.94	766661.230494	9887679.699494	30	0
1	171	0	57839.94	766661.230494	9887708.699494	30	0
1	171	0	57869.94	766661.230494	9887737.699494	30	0
1	171	0	57899.94	766661.230494	9887766.699494	30	0
1	171	0	57929.94	766661.230494	9887795.699494	30	0
1	171	0	57959.94	766661.230494	9887824.699494	30	0
1	171	0	57989.94	766661.230494	9887853.699494	30	0
1	171	0	58019.94	766661.230494	9887882.699494	30	0
1	171	0	58049.94	766661.230494	9887911.699494	30	0
1	171	0	58079.94	766661.230494	9887940.699494	30	0
1	171	0	58109.94	766661.230494	9887969.699494	30	0
1	171	0	58139.94	766661.230494	9887998.699494	30	0
1	171	0	58169.94	766661.230494	9888027.699494	30	0
1	171	0	58199.94	766661.230494	9888056.699494	30	0
1	171	0	58229.94	766632.230494	9888056.699494	30	0
1	171	0	58259.94	766603.230494	9888056.699494	30	0
1	171	0	58289.94	766574.230494	9888056.699494	30	0
1	171	0	58319.94	766574.230494	9888027.699494	30	0
1	171	0	58349.94	766574.230494	9887998.699494	30	0
1	171	0	58379.94	766574.230494	9887969.699494	30	0
1	171	0	58409.94	766574.230494	9887940.699494	30	0
1	171	0	58439.94	766574.230494	9887911.699494	30	0
